Top queries,Last 28 days Clicks,Same period last year Clicks,Last 28 days Impressions,Same period last year Impressions,Last 28 days CTR,Same period last year CTR,Last 28 days Position,Same period last year Position
russia-ukraine war latest news today,0,201,0,2748,0%,7.31%,0,2.68
russia ukraine war latest news,3,200,758,2464,0.4%,8.12%,4.41,2.57
karen bass ghana,0,199,0,5063,0%,3.93%,0,6.48
french woman brad pitt,0,199,0,1310,0%,15.19%,0,3.65
asylum seekers netherlands burden,0,198,0,625,0%,31.68%,0,1.01
trump mug photo,0,197,0,1608,0%,12.25%,0,2.15
chagos,0,193,0,3116,0%,6.19%,0,2.45
war ukraine,0,192,0,1113,0%,17.25%,0,1.9
kursk,0,191,0,16048,0%,1.19%,0,13.95
sex gay,0,190,0,11572,0%,1.64%,0,9.65
anne brad pitt scam,0,190,0,603,0%,31.51%,0,2.27
ukraine war latest news today live,0,188,0,1754,0%,10.72%,0,3.8
south korea airport crash,0,186,0,3548,0%,5.24%,0,1.17
elgin marbles,0,186,0,1833,0%,10.15%,0,5.2
assads wife,0,185,0,2703,0%,6.84%,0,3.99
samsung din jabbar,0,185,0,2045,0%,9.05%,0,3.43
pakistan afghanistan war,0,184,0,3692,0%,4.98%,0,4.44
macron musk,0,184,0,2240,0%,8.21%,0,3.47
afghanistan,0,183,0,6923,0%,2.64%,0,2.34
trump presidential portrait 2025,0,182,0,1594,0%,11.42%,0,3.63
ukraine news live,2,182,179,1504,1.12%,12.1%,8.58,4.35
sex telegram,0,181,0,2278,0%,7.95%,0,6.11
alice weidel wife,0,180,0,4574,0%,3.94%,0,4.37
new york subway,0,180,0,2698,0%,6.67%,0,2.05
mass deportation,0,180,0,2381,0%,7.56%,0,1.16
mayor of los angeles,0,180,0,1648,0%,10.92%,0,1.09
korean air crash,0,178,0,2457,0%,7.24%,0,2.88
trump israel,3,177,17,2374,17.65%,7.46%,1.94,4.11
telegram 70000 men,0,176,0,475,0%,37.05%,0,3.91
"70,000 men groupchat",0,175,0,555,0%,31.53%,0,3.44
bangladesh,8,174,1458,8643,0.55%,2.01%,1.68,5.06
canary islands migrant boats christmas,0,174,0,1736,0%,10.02%,0,2.17
julian assange,0,173,0,4687,0%,3.69%,0,4.3
brad pitt ai,0,172,0,1224,0%,14.05%,0,2.07
israel hamas war,0,171,0,5829,0%,2.93%,0,4.51
russian war,0,171,0,1418,0%,12.06%,0,1.43
tiktok ban,0,170,0,12290,0%,1.38%,0,1.63
ukraine destroys russian helicopters using magura maritime drones,0,170,0,7832,0%,2.17%,0,4.02
who will replace justin trudeau,0,170,0,6081,0%,2.8%,0,7.24
ukrainian soldiers trained by france went awol before seeing combat,0,170,0,519,0%,32.76%,0,1.03
jane etta pitt,0,169,0,886,0%,19.07%,0,3.3
donald trump official portrait,0,167,0,3828,0%,4.36%,0,5.6
trump netanyahu,9,167,494,1572,1.82%,10.62%,3.3,1.86
crocodile dundee,0,166,0,12604,0%,1.32%,0,6.92
north korean navy,0,166,0,4783,0%,3.47%,0,2.36
israel hamas,0,166,0,4778,0%,3.47%,0,2.73
prince harry news,0,166,0,2489,0%,6.67%,0,2.85
boat,0,165,0,1252,0%,13.18%,0,10.21
gaza latest,0,165,0,873,0%,18.9%,0,1.77
70000 men chat,0,165,0,659,0%,25.04%,0,3.71
"70,000 men telegram",0,165,0,548,0%,30.11%,0,3.99
koh yao elephant care,0,164,0,6005,0%,2.73%,0,2.69
israel gaza ceasefire,0,163,0,4091,0%,3.98%,0,1.81
new york news,0,162,0,1181,0%,13.72%,0,1.72
"china is developing landing barges that could be used in a invasion of 
taiwan.",0,161,0,3725,0%,4.32%,0,3.4
harry and meghan news,0,161,0,2428,0%,6.63%,0,3.1
"70,000 group chat",0,161,0,415,0%,38.8%,0,1.97
trump middle east envoy,0,160,0,1010,0%,15.84%,0,2.52
group chat 70000 men,0,160,0,336,0%,47.62%,0,2.01
70k group chat,0,160,0,308,0%,51.95%,0,1.04
mayor of la,0,159,0,1666,0%,9.54%,0,1.3
unmanned surface vehicle,0,159,0,363,0%,43.8%,0,1
bangladesh news,7,158,660,760,1.06%,20.79%,1,1.89
70000 telegram group,0,158,0,447,0%,35.35%,0,3.41
donald trump portrait,0,157,0,4208,0%,3.73%,0,4.73
ryan reynolds,0,156,0,10122,0%,1.54%,0,6.82
news ukraine war,0,156,0,783,0%,19.92%,0,3.68
paris theatre migrants,0,156,0,602,0%,25.91%,0,1.38
storm shadow ukraine,0,155,0,1952,0%,7.94%,0,1.14
gaza ceasefire news,0,154,0,2190,0%,7.03%,0,3.22
russian ukraine latest news today,0,154,0,1780,0%,8.65%,0,2.63
spanish tourist gored to death,0,154,0,663,0%,23.23%,0,2.33
sophie narme,0,152,0,1525,0%,9.97%,0,6.58
telegram group rape,3,152,8,540,37.5%,28.15%,9.38,1.71
drones,6,151,1139,11494,0.53%,1.31%,4.25,4.97
bruce willis age,0,151,0,6649,0%,2.27%,0,9.16
denmark coat of arms,0,151,0,3249,0%,4.65%,0,2.88
afghanistan pakistan,0,151,0,2272,0%,6.65%,0,3.88
telegram chat group,0,150,0,2240,0%,6.7%,0,8.5
hamas ceasefire,0,150,0,2003,0%,7.49%,0,3.29
what happened to los angeles,0,148,0,15768,0%,0.94%,0,7.12
rape video telegram,0,148,0,1153,0%,12.84%,0,3.85
70000 men chat room,0,148,0,251,0%,58.96%,0,1.28
trump new portrait,0,145,0,2071,0%,7%,0,3.84
israel iran,0,145,0,1678,0%,8.64%,0,7.3
telegram sex chat group,0,145,0,1549,0%,9.36%,0,9.14
israel latest,0,145,0,1175,0%,12.34%,0,2.58
ski angels rescue,0,145,0,227,0%,63.88%,0,1
trump inauguration portrait,0,144,0,2402,0%,6%,0,4.11
baltic sea,0,143,0,3061,0%,4.67%,0,6.43
azerbaijan plane shot down,0,143,0,1199,0%,11.93%,0,3.56
telegram rape chats,0,143,0,320,0%,44.69%,0,2.75
jean marie le pen,0,142,0,9020,0%,1.57%,0,3.77
shark attack egypt,5,142,102,1199,4.9%,11.84%,7.16,5.87
rape videos telegram,0,142,0,1104,0%,12.86%,0,4.83
all american airlines christmas eve outage,0,142,0,632,0%,22.47%,0,1.05
pompeii discovery,0,141,0,3866,0%,3.65%,0,3.45
afghanistan news,0,141,0,1885,0%,7.48%,0,3.23
rape chat telegram,0,141,0,567,0%,24.87%,0,3.44
kim jong un vows toughest counteraction strategy against the us,0,140,0,29306,0%,0.48%,0,5.88
caroline pelicot,0,140,0,1121,0%,12.49%,0,5.28
sex group telegram,0,140,0,986,0%,14.2%,0,6.41
people smuggling,0,140,0,502,0%,27.89%,0,1.89
kim jong-un inspects north korea's largest warship under construction,0,140,0,412,0%,33.98%,0,1
trudeau resign,0,139,0,2869,0%,4.84%,0,3.11
russian-ukraine latest news today,0,139,0,1364,0%,10.19%,0,3.39
70000 men caught,0,139,0,291,0%,47.77%,0,1.11
latest news on ukraine war,4,138,242,963,1.65%,14.33%,7.96,1.87
taliban attack on pakistan,0,137,0,5049,0%,2.71%,0,6.85
israel gaza,0,137,0,2940,0%,4.66%,0,3.58
taliban attack pakistan,0,137,0,1271,0%,10.78%,0,2.77
70000 men group,0,137,0,391,0%,35.04%,0,2.46
carter funeral,0,136,0,1353,0%,10.05%,0,2.55
north korean troops in ukraine,0,136,0,1150,0%,11.83%,0,4.62
palestine ceasefire,0,135,0,4033,0%,3.35%,0,1.13
russia trump,29,135,332,1430,8.73%,9.44%,1.02,1.12
aleksei bugayev,0,134,0,6542,0%,2.05%,0,5.08
forced sex telegram,7,134,111,1585,6.31%,8.45%,13.2,3.48
russo-ukrainian war,0,134,0,981,0%,13.66%,0,1.4
georgia,0,133,0,5874,0%,2.26%,0,4.75
kursk russia,0,133,0,2773,0%,4.8%,0,1.59
how old is dolly parton,0,132,0,7536,0%,1.75%,0,1.99
